iter	Passed	Remaining
1510	10437	3377
1511	10444	3371
1512	10452	3364
1513	10460	3357
1514	10467	3351
1515	10474	3344
1516	10482	3337
1517	10489	3330
1518	10496	3323
1519	10503	3316
1520	10510	3309
1521	10517	3303
1522	10523	3296
1523	10530	3289
1524	10537	3282
1525	10544	3275
1526	10551	3268
1527	10558	3261
1528	10566	3255
1529	10574	3248
1530	10581	3241
1531	10589	3234
1532	10595	3227
1533	10601	3220
1534	10607	3213
1535	10614	3206
1536	10623	3200
1537	10629	3193
1538	10637	3186
1539	10643	3179
1540	10650	3172
1541	10658	3165
1542	10665	3158
1543	10671	3151
1544	10679	3145
1545	10686	3138
1546	10692	3131
1547	10698	3123
1548	10704	3116
1549	10711	3109
1550	10717	3102
1551	10725	3095
1552	10732	3089
1553	10738	3082
1554	10744	3074
1555	10751	3067
1556	10758	3061
1557	10765	3054
1558	10772	3047
1559	10779	3040
1560	10786	3033
1561	10793	3026
1562	10800	3019
1563	10807	3012
1564	10813	3005
1565	10820	2998
1566	10827	2991
1567	10834	2985
1568	10841	2978
1569	10848	2971
1570	10856	2964
1571	10863	2957
1572	10870	2950
1573	10876	2943
1574	10884	2936
1575	10889	2929
1576	10896	2922
1577	10903	2915
1578	10910	2908
1579	10917	2902
1580	10923	2894
1581	10929	2887
1582	10936	2880
1583	10943	2874
1584	10950	2867
1585	10958	2860
1586	10963	2853
1587	10970	2846
1588	10977	2839
1589	10984	2832
1590	10990	2825
1591	10998	2818
1592	11005	2811
1593	11012	2804
1594	11019	2798
1595	11026	2791
1596	11033	2784
1597	11040	2777
1598	11047	2770
1599	11053	2763
1600	11061	2756
1601	11068	2749
1602	11075	2743
1603	11083	2736
1604	11090	2729
1605	11097	2722
1606	11104	2715
1607	11110	2708
1608	11117	2701
1609	11123	2694
1610	11130	2687
1611	11138	2680
1612	11145	2674
1613	11153	2667
1614	11160	2660
1615	11166	2653
1616	11172	2646
1617	11179	2639
1618	11187	2632
1619	11194	2625
1620	11202	2619
1621	11210	2612
1622	11217	2605
1623	11223	2598
1624	11230	2591
1625	11237	2584
1626	11245	2578
1627	11252	2571
1628	11259	2564
1629	11266	2557
1630	11272	2550
1631	11279	2543
1632	11285	2536
1633	11292	2529
1634	11299	2522
1635	11306	2515
1636	11313	2508
1637	11319	2501
1638	11326	2494
1639	11333	2487
1640	11339	2480
1641	11346	2473
1642	11354	2467
1643	11361	2460
1644	11368	2453
1645	11376	2446
1646	11384	2439
1647	11390	2432
1648	11397	2426
1649	11404	2419
1650	11411	2412
1651	11417	2405
1652	11423	2398
1653	11430	2391
1654	11437	2384
1655	11444	2377
1656	11451	2370
1657	11458	2363
1658	11466	2356
1659	11473	2349
1660	11480	2343
1661	11487	2336
1662	11494	2329
1663	11501	2322
1664	11507	2315
1665	11514	2308
1666	11521	2301
1667	11529	2294
1668	11535	2287
1669	11542	2280
1670	11549	2273
1671	11556	2266
1672	11562	2259
1673	11570	2253
1674	11577	2246
1675	11583	2239
